쿠팡,11.66
네이버스마트스토어,6
G마켓,13
옥션,13
11번가,15
티몬오픈마켓,13
티몬특가딜,13
위메프,14.3
롯데ON,15
인터파크,13
카카오,7
에이블리,13
올웨이즈,3.85
오프라인,5
자체배송,1
끝,
